region,origin_id,origin_name,dest_id,dest_name,straight_m,option,distance_m,duration_s,crosswalk,big_crossings,stairs,underpass,underpass_m,origin_passage_m,overpass,elevator,slope,big_road_ratio
yeongdeungpo,4113,벨라동물병원,795,신길S동물의료센터,1675,main_road,2154,1931,12,6,0,0,0,0,0,0,0,0.75
yeongdeungpo,4113,벨라동물병원,795,신길S동물의료센터,1675,no_stairs,2097,1871,11,4,0,0,0,0,0,0,0,0.62
yeongdeungpo,4858,온누리 종합동물병원,2781,아람동물병원,376,recommended,414,326,1,1,0,0,0,0,0,0,0,0.44
yeongdeungpo,4858,온누리 종합동물병원,2781,아람동물병원,376,main_road,414,326,1,1,0,0,0,0,0,0,0,0.44
yeongdeungpo,4858,온누리 종합동물병원,2781,아람동물병원,376,no_stairs,414,326,1,1,0,0,0,0,0,0,0,0.44
yeongdeungpo,4858,온누리 종합동물병원,795,신길S동물의료센터,1004,recommended,1024,802,2,1,0,0,0,0,0,0,0,0.78
yeongdeungpo,4858,온누리 종합동물병원,795,신길S동물의료센터,1004,main_road,1024,802,2,1,0,0,0,0,0,0,0,0.78
yeongdeungpo,4858,온누리 종합동물병원,795,신길S동물의료센터,1004,no_stairs,1082,888,4,1,0,0,0,0,0,0,0,0.86
yeongdeungpo,4858,온누리 종합동물병원,4123,도그플러스동물병원,1644,recommended,2049,1907,13,10,0,1,187,0,0,0,0,0.32
yeongdeungpo,4858,온누리 종합동물병원,4123,도그플러스동물병원,1644,main_road,2656,2246,11,6,0,1,77,0,0,0,0,0.59
yeongdeungpo,4858,온누리 종합동물병원,4123,도그플러스동물병원,1644,no_stairs,3228,2741,15,12,0,0,0,0,0,0,0,0.43
yeongdeungpo,1874,러브펫 동물병원,4123,도그플러스동물병원,668,recommended,754,745,6,2,0,0,0,0,0,0,0,0.43
yeongdeungpo,1874,러브펫 동물병원,4123,도그플러스동물병원,668,main_road,754,745,6,2,0,0,0,0,0,0,0,0.43
yeongdeungpo,1874,러브펫 동물병원,4123,도그플러스동물병원,668,no_stairs,754,745,6,2,0,0,0,0,0,0,0,0.43
yeongdeungpo,1874,러브펫 동물병원,4858,온누리 종합동물병원,1035,recommended,1431,1325,7,4,0,1,187,0,0,0,0,0.48
yeongdeungpo,1874,러브펫 동물병원,4858,온누리 종합동물병원,1035,main_road,2090,1693,5,3,0,1,77,0,0,0,0,0.46
yeongdeungpo,1874,러브펫 동물병원,4858,온누리 종합동물병원,1035,no_stairs,2609,2160,9,8,0,0,0,0,0,0,0,0.63
yeongdeungpo,1874,러브펫 동물병원,7097,신도림동물병원,1619,recommended,1958,1640,7,2,0,0,0,0,0,0,0,0.79
yeongdeungpo,1874,러브펫 동물병원,7097,신도림동물병원,1619,main_road,1958,1640,7,2,0,0,0,0,0,0,0,0.79
yeongdeungpo,1874,러브펫 동물병원,7097,신도림동물병원,1619,no_stairs,1958,1640,7,2,0,0,0,0,0,0,0,0.79
yeongdeungpo,2657,이든동물의료센터,3713,미소로동물병원,398,recommended,431,366,2,1,0,0,0,0,0,0,0,0.88
yeongdeungpo,2657,이든동물의료센터,3713,미소로동물병원,398,main_road,431,366,2,1,0,0,0,0,0,0,0,0.88
yeongdeungpo,2657,이든동물의료센터,3713,미소로동물병원,398,no_stairs,431,366,2,1,0,0,0,0,0,0,0,0.88
yeongdeungpo,2657,이든동물의료센터,26,24시여의동물의료센터,1387,recommended,2212,1795,7,6,0,0,0,0,0,0,0,0.73
yeongdeungpo,2657,이든동물의료센터,26,24시여의동물의료센터,1387,main_road,2212,1795,7,6,0,0,0,0,0,0,0,0.73
yeongdeungpo,2657,이든동물의료센터,26,24시여의동물의료센터,1387,no_stairs,3627,2863,9,7,0,0,0,0,0,0,0,0.72
yeongdeungpo,2657,이든동물의료센터,2199,24시 수 동물메디컬센터,1635,recommended,2194,1740,7,4,0,0,0,0,0,0,0,0.66
yeongdeungpo,2657,이든동물의료센터,2199,24시 수 동물메디컬센터,1635,main_road,2194,1740,7,4,0,0,0,0,0,0,0,0.66
yeongdeungpo,2657,이든동물의료센터,2199,24시 수 동물메디컬센터,1635,no_stairs,2194,1740,7,4,0,0,0,0,0,0,0,0.66
yeongdeungpo,1896,캣앤캣 고양이 병원,5857,애드펫동물병원,484,recommended,570,503,3,0,0,0,0,0,0,0,0,0.74
yeongdeungpo,1896,캣앤캣 고양이 병원,5857,애드펫동물병원,484,main_road,599,520,3,0,0,0,0,0,0,0,0,0.73
yeongdeungpo,1896,캣앤캣 고양이 병원,5857,애드펫동물병원,484,no_stairs,570,503,3,0,0,0,0,0,0,0,0,0.74
yeongdeungpo,1896,캣앤캣 고양이 병원,2120,그림책 읽어주는 동물병원,1097,recommended,1645,1323,5,4,0,0,0,0,0,0,0,0.82
yeongdeungpo,1896,캣앤캣 고양이 병원,2120,그림책 읽어주는 동물병원,1097,main_road,1645,1323,5,4,0,0,0,0,0,0,0,0.82
yeongdeungpo,1896,캣앤캣 고양이 병원,2120,그림책 읽어주는 동물병원,1097,no_stairs,1645,1323,5,4,0,0,0,0,0,0,0,0.82
